facility_id,city,name,category,country,currency,latitude,longitude,website,description,adult_price,student_price,senior_price,child_price,veteran_price,disabled_price,eu_under_26_price,wheelchair_access,accessible_restroom,elevator,free_entry_day,special_discount,night_opening,data_source,last_updated
SEOUL_001,Seoul,국립중앙박물관,Museum,Korea,KRW,37.52385,126.98047,https://www.museum.go.kr,한국의 대표 국립 박물관. 상설전시는 무료이며 특별전은 별도 요금이 있을 수 있음.,0.0,0.0,0.0,0.0,0.0,0.0,,TRUE,True,TRUE,Always free for permanent exhibitions,Special exhibitions may charge separate admission.,True,https://www.museum.go.kr/site/eng/content/hours_and_fees,2026-06-12
SEOUL_002,Seoul,서울역사박물관,Art Museum,Korea,KRW,37.57056,126.97076,https://museum.seoul.go.kr,서울의 도시사와 생활사를 다루는 공립 역사박물관.,0.0,0.0,0.0,0.0,0.0,0.0,,TRUE,True,TRUE,Always free,Always Free.,True,https://museum.seoul.go.kr/www/guide/vis/infomation.jsp?sso=ok,2026-06-12
SEOUL_003,Seoul,국립현대미술관 서울관,Art Museum,Korea,KRW,37.57865,126.98043,https://www.mmca.go.kr,서울 도심의 국립 현대미술관. 전시별 요금이 달라질 수 있음.,10000.0,0.0,0.0,0.0,0.0,0.0,,TRUE,True,TRUE,Wednesday and Saturday 18:00-21:00; Culture Day,"Base price uses integrated/regular exhibition ticket; exact fee can vary by exhibition. Under 24, over 65, disabled visitors and certain public-benefit groups may be free.",True,https://www.mmca.go.kr/eng/visitingInfo/seoulInfo.do,2026-06-12
SEOUL_004,Seoul,리움미술관,Art Museum,Korea,KRW,37.539724,126.999863,https://www.leeumhoam.org," 한국 고유의 미를 담고 있는 전통미술과 생동하는 현대미술, 시대적 가치를 반영한 국제미술이 함께 공존하는 세계를 향한 열린 미술관",25000.0,13000.0,13000.0,0.0,0.0,0.0,,TRUE,True,TRUE,Exhibitions vary.,Special exhibitions or experience programs may charge.,False,https://www.leeumhoam.org/leeum/info/visit,2026-06-12
SEOUL_005,Seoul,덕수궁,Palace,Korea,KRW,37.5658,126.97515,https://royal.khs.go.kr,서울 도심의 조선 궁궐. 야간까지 개방되어 접근성이 좋은 궁궐 관광지.,1000.0,0.0,0.0,0.0,0.0,0.0,,TRUE,True,FALSE,Culture Day; hanbok admission free,"Korean palace free-entry rules apply to seniors, certain veterans, disabled visitors and hanbok visitors.",True,https://royal.khs.go.kr,2026-06-12
SEOUL_006,Seoul,창덕궁,Palace,Korea,KRW,37.57944,126.99105,https://royal.khs.go.kr,유네스코 세계유산으로 지정된 조선 궁궐. 후원 관람은 별도 요금/예약이 필요할 수 있음.,3000.0,0.0,0.0,0.0,0.0,0.0,,TRUE,True,FALSE,Culture Day; hanbok admission free,Secret Garden ticket is not included in the base palace ticket. Seasonal hours are simplified in opening_hours.csv.,False,https://royal.khs.go.kr,2026-06-12
SEOUL_007,Seoul,경복궁,Palace,Korea,KRW,37.57962,126.97704,https://royal.khs.go.kr,조선 왕조의 대표 궁궐. 계절별 운영시간이 달라짐.,3000.0,0.0,0.0,0.0,0.0,0.0,,TRUE,True,FALSE,Culture Day; hanbok admission free,Seasonal hours are simplified to the current summer schedule in opening_hours.csv.,False,https://royal.khs.go.kr,2026-06-12
SEOUL_008,Seoul,서울공예박물관,Museum,Korea,KRW,37.57639,126.98416,https://craftmuseum.seoul.go.kr,공예와 디자인 문화를 다루는 서울시립 박물관.,0.0,0.0,0.0,0.0,0.0,0.0,,TRUE,True,TRUE,Always free for permanent exhibitions,Special programs or temporary exhibitions may require reservation or fee.,False,https://craftmuseum.seoul.go.kr/eng/main,2026-06-12
SEOUL_009,Seoul,서울시립 사진미술관,Art Museum,Korea,KRW,37.391983,127.025655,https://sema.seoul.go.kr/kr/visit/photosema,사진 중심의 전시와 다채로운 프로그램.,0.0,0.0,0.0,0.0,0.0,0.0,,TRUE,True,TRUE,Free except selected special exhibitions,Admission fee can vary by exhibition.,True,https://sema.seoul.go.kr/kr/visit/photosema#lnkExInfo,2026-06-12
SEOUL_010,Seoul,서울시립 남서울미술관,Art Museum,Korea,KRW,37.4761313,126.9795938,https://sema.seoul.go.kr/kr/visit/namseoul,"역사의 정취가 가득한, 오래 머물고 싶은 미술관입니다. 미술관이 둥지를 튼 이곳은 대한제국(1897~1910) 시절 벨기에 영사관으로 사용된 건물(사적 제254호)로, 1905년 회현동에 준공되어 1983년 지금의 남현동으로 옮겨졌습니다.",0.0,0.0,0.0,0.0,0.0,0.0,,TRUE,True,TRUE,Free except selected special exhibitions,Admission fee can vary by exhibition.,True,https://sema.seoul.go.kr/kr/visit/namseoul#lnkExInfo,2026-06-12
NYC_001,New York,Metropolitan Museum of Art,Art Museum,United States,USD,40.77944,-73.96324,https://www.metmuseum.org,뉴욕을 대표하는 대형 미술관. Fifth Avenue 본관 기준.,30.0,17.0,22.0,0.0,,22.0,,TRUE,True,TRUE,Pay-what-you-wish for NY State residents and NY/NJ/CT students,Children under 12 free. Visitors with disabilities receive reduced admission and one care partner may be free.,True,https://www.metmuseum.org/visit/plan-your-visit/met-fifth-avenue,2026-06-12
NYC_002,New York,MoMA,Art Museum,United States,USD,40.76143,-73.97762,https://www.moma.org,현대미술 중심의 뉴욕 대표 미술관.,30.0,17.0,22.0,0.0,,22.0,,TRUE,True,TRUE,Children 16 and under free; free-entry programs may vary,Visitors with disabilities receive reduced admission and one care partner may be free.,True,https://www.moma.org/visit/,2026-06-12
NYC_003,New York,Guggenheim Museum,Art Museum,United States,USD,40.78298,-73.95897,https://www.guggenheim.org,프랭크 로이드 라이트 건축으로 유명한 현대미술관.,30.0,19.0,19.0,0.0,,19.0,,TRUE,True,TRUE,Pay-What-You-Wish during selected hours,Children under 12 free. Visitors with disabilities and seniors/students receive reduced admission.,False,https://www.guggenheim.org/plan-your-visit,2026-06-12
NYC_004,New York,American Museum of Natural History,Science Museum,United States,USD,40.78132,-73.97399,https://www.amnh.org,"자연사, 우주, 생물 다양성 전시를 갖춘 대형 박물관.",37.0,30.0,30.0,22.0,,30.0,,TRUE,True,TRUE,Pay-what-you-wish for NY/NJ/CT residents,Children under 3 may be free. Visitors with disabilities may be eligible for reduced onsite admission.,False,https://www.amnh.org/plan-your-visit,2026-06-12
NYC_005,New York,Whitney Museum,Art Museum,United States,USD,40.73959,-74.00886,https://whitney.org,미국 현대미술과 동시대 미술에 특화된 미술관.,30.0,24.0,24.0,0.0,0.0,24.0,,TRUE,True,TRUE,Free Friday evenings; Free Second Sundays; visitors 25 and under free,Free/discount programs are subject to calendar and ticket availability.,True,https://whitney.org/visit,2026-06-12
NYC_006,New York,The Frick Collection,Art Museum,United States,USD,40.77121,-73.9674,https://www.frick.org,유럽 회화와 장식미술 컬렉션으로 유명한 미술관.,30.0,17.0,22.0,0.0,,22.0,,TRUE,True,TRUE,Pay-what-you-wish Wednesdays during selected afternoon hours,Youth 10-18 may be free; children under 10 are generally not admitted.,False,https://www.frick.org/visit,2026-06-12
NYC_007,New York,Intrepid Museum,History Museum,United States,USD,40.76453,-73.99961,https://intrepidmuseum.org,"항공모함 Intrepid, 우주왕복선, 잠수함 전시가 있는 해양·항공·군사 박물관.",38.0,38.0,36.0,28.0,,38.0,,TRUE,True,TRUE,Selected complimentary-admission programs may apply,Prices should be checked against the ticket calendar; access caregiver may be free.,False,https://intrepidmuseum.org/plan-your-visit/visitor-information/tickets,2026-06-12
NYC_008,New York,Museum of the City of New York,History Museum,United States,USD,40.79249,-73.95191,https://www.mcny.org,뉴욕시의 역사와 도시문화를 다루는 박물관.,23.0,14.0,18.0,0.0,,23.0,,TRUE,True,TRUE,Wednesdays free; NYC residents pay what they can,Visitors 18 and under may be free. Personal care assistants may be free.,False,https://www.mcny.org/visit,2026-06-12
NYC_009,New York,Brooklyn Museum,Art Museum,United States,USD,40.67121,-73.96363,https://www.brooklynmuseum.org,브루클린의 대표 미술관. 고대부터 현대미술까지 폭넓은 컬렉션을 보유.,20.0,14.0,14.0,0.0,,14.0,,TRUE,True,TRUE,Pay what you can at admission desk,Ages 4-19 may be free. Visitors with disabilities and seniors/students receive suggested reduced admission.,False,https://www.brooklynmuseum.org/visit,2026-06-12
NYC_010,New York,9/11 Memorial Museum,History Museum,United States,USD,40.71149,-74.01342,https://www.911memorial.org,9·11 테러 추모와 관련 기록을 다루는 박물관. 메모리얼 광장은 무료.,36.0,30.0,30.0,24.0,,36.0,,TRUE,True,TRUE,Memorial free daily; New York First Sundays program for eligible NY community,Museum ticket prices can vary by date and ticket type; official calendar should be checked.,False,https://www.911memorial.org/visit/museum,2026-06-12
PARIS_001,Paris,Louvre Museum,Art Museum,France,EUR,48.86061,2.33764,https://www.louvre.fr,세계 최대 규모의 미술관 중 하나. 2026년 요금은 거주지/자격에 따라 달라짐.,32.0,32.0,32.0,0.0,,0.0,0.0,TRUE,True,TRUE,First Friday after 18:00 except July/August; 14 July; under 18 and EEA under 26 free,Base adult price uses non-EEA visitor rate; EEA adult visitor rate may be lower.,True,https://www.louvre.fr/en/visit/hours-admission,2026-06-12
PARIS_002,Paris,Mus?e d’Orsay,Art Museum,France,EUR,48.85996,2.32656,https://www.musee-orsay.fr,오르세 역사를 개조한 미술관. 인상주의 컬렉션으로 유명함.,16.0,11.0,16.0,0.0,,0.0,0.0,TRUE,True,TRUE,Under 18 and EEA under 26 free; selected free-entry days may require booking,Reduced onsite ticket used for student_price where applicable; eligibility must be verified.,True,https://www.musee-orsay.fr/en/visit,2026-06-12
PARIS_003,Paris,Centre Pompidou,Art Museum,France,EUR,48.86064,2.35225,https://www.centrepompidou.fr,퐁피두센터 본관. 2025년 가을부터 대규모 리노베이션으로 본관 폐쇄 상태.,,,,,,,,TRUE,True,TRUE,Main building closed; off-site programs vary,Do not use this row for admission-fee comparison unless filtering closed facilities.,False,https://www.centrepompidou.fr/en/programme/centre-pompidou-2030,2026-06-12
PARIS_004,Paris,Mus?e Rodin,Art Museum,France,EUR,48.85537,2.31576,https://www.musee-rodin.fr,로댕 조각과 정원을 중심으로 한 미술관.,14.0,14.0,14.0,0.0,,0.0,0.0,TRUE,True,TRUE,First Sunday from October to March; under 18 and EEA under 26 free,Eligibility for free or reduced admission must be verified with ID.,False,https://www.musee-rodin.fr/en/visit,2026-06-12
PARIS_005,Paris,Mus?e de l’Orangerie,Art Museum,France,EUR,48.86379,2.32263,https://www.musee-orangerie.fr,모네의 수련 연작으로 유명한 튈르리 정원의 미술관.,12.5,8.5,12.5,0.0,,0.0,0.0,TRUE,True,TRUE,Under 18 and EEA under 26 free; selected free-entry days may require booking,Friday night reduced tickets may apply during exhibition periods.,True,https://www.musee-orangerie.fr/en/visit,2026-06-12
PARIS_006,Paris,Palais de Tokyo,Art Museum,France,EUR,48.86409,2.29655,https://palaisdetokyo.com,대규모 현대미술 전시 공간. 목요일 자정까지 운영되는 야간 접근성이 특징.,13.0,9.0,9.0,0.0,,0.0,9.0,TRUE,True,TRUE,Under 18 and selected beneficiaries free,"Reduced fee applies to 18-25, students and seniors over 60; disabled visitor and companion free.",True,https://palaisdetokyo.com/en/admission-charges/ | https://palaisdetokyo.com/en/visiting-rules/,2026-06-12
PARIS_007,Paris,Mus?e Picasso,Art Museum,France,EUR,48.85996,2.36255,https://www.museepicassoparis.fr,파블로 피카소의 작품과 기록을 소장한 마레 지구의 미술관.,16.0,16.0,16.0,0.0,,0.0,0.0,TRUE,True,TRUE,First Sunday of the month; under 18 and EEA under 26 free,Eligibility for reduced/free admission must be verified.,False,https://www.museepicassoparis.fr/en,2026-06-12
PARIS_008,Paris,Mus?e Carnavalet,History Museum,France,EUR,48.85784,2.3628,https://www.carnavalet.paris.fr,파리의 도시 역사와 생활사를 다루는 박물관. 상설 컬렉션은 무료.,0.0,0.0,0.0,0.0,,0.0,0.0,TRUE,True,TRUE,Permanent collections free,Temporary exhibitions may charge.,False,https://www.carnavalet.paris.fr/en/visit,2026-06-12
PARIS_009,Paris,Cit? des Sciences,Science Museum,France,EUR,48.8956,2.3879,https://www.cite-sciences.fr,"라 빌레트 공원의 과학산업 박물관. 전시, 어린이관, 플라네타리움 등 공간별 시간이 다를 수 있음.",15.0,12.0,15.0,12.0,,0.0,12.0,TRUE,True,TRUE,Under 2 free; disabled visitor and companion free,Base price uses exhibition ticket. Cit? des enfants and G?ode have separate formulas/prices.,False,https://www.cite-sciences.fr/fr/infos-pratiques/horaires | https://www.cite-sciences.fr/fr/infos-pratiques/nos-tarifs,2026-06-12
PARIS_010,Paris,Arc de Triomphe,Landmark,France,EUR,48.87378,2.29503,https://www.paris-arc-de-triomphe.fr,샹젤리제 서쪽 끝의 기념물. 전망대 입장권 기준.,16.0,16.0,16.0,0.0,,0.0,0.0,PARTIAL,True,PARTIAL,Tomb of the Unknown Soldier free; under 18 and EU/EEA under 26 free for monument access,Opening hours are seasonal. Monument may close for ceremonies or weather.,True,https://www.paris-arc-de-triomphe.fr/en/visit/practical-information,2026-06-12
